timeFrame	cpuPerc	memoryPerc	memoryUsed
236	19.6	98.5	2.04834816
237	100.0	98.5	2.048299008
238	90.0	98.5	2.047930368
239	17.9	98.2	2.041561088
240	8.3	97.9	2.035331072
241	29.9	97.6	2.029989888
242	36.7	97.4	2.025639936
243	21.4	97.1	2.019250176
244	37.5	96.9	2.01449472
245	21.2	96.6	2.0082688
246	21.9	96.3	2.002231296
247	92.9	96.8	2.012143616
248	81.0	97.1	2.01910272
249	15.5	97.1	2.019098624
250	28.1	97.1	2.019577856
251	17.7	97.1	2.019569664
252	31.2	97.1	2.019540992
253	28.0	97.1	2.01949184
254	14.4	97.1	2.019487744
255	15.6	97.1	2.019479552
256	17.3	97.1	2.01959424
257	24.5	97.1	2.019581952
258	21.1	97.1	2.019700736
259	100.0	97.2	2.020171776
260	88.9	97.2	2.020073472
261	35.7	97.2	2.019893248
262	22.1	97.2	2.019872768
263	15.5	97.2	2.019971072
264	16.3	97.2	2.019954688
265	16.7	97.2	2.020069376
266	17.5	97.2	2.02006528
267	25.3	97.2	2.020179968
268	21.0	97.2	2.020179968
269	18.6	97.2	2.020204544
270	17.5	97.2	2.020323328
271	23.2	97.2	2.020306944
272	100.0	97.2	2.020954112
273	86.9	97.2	2.02039296
274	24.5	97.2	2.02037248
275	17.5	97.2	2.020864
276	16.7	97.2	2.020851712
277	28.6	97.2	2.021064704
278	15.8	97.2	2.021179392
279	19.0	97.2	2.021167104
280	28.6	97.2	2.021289984
281	17.5	97.2	2.021281792
282	36.7	97.2	2.021527552
283	100.0	97.2	2.0215808
284	56.1	97.2	2.02135552
285	15.6	96.9	2.014584832
286	26.8	96.6	2.008518656
287	16.7	96.4	2.004516864
288	12.8	96.4	2.004586496
289	29.3	96.4	2.004557824
290	14.4	96.4	2.00464384
291	16.3	96.5	2.005467136
292	14.6	96.5	2.005409792
293	21.1	96.5	2.005528576
294	18.6	96.5	2.006020096
295	19.2	96.5	2.006142976
296	25.5	96.5	2.006126592
297	100.0	96.5	2.006626304
